scenario,policy,mix,contacts,relevant_contacts,shifted_transfers,planned_transfers,completed_transfers,organic_volume_rub,policy_volume_rub,gross_timing_value_rub,net_scenario_value_rub,execution_drag_rub,shifted_amount_rub,sum_advance_days,hurt_transfers,contact_target_sum,contact_forward_bps_sum,own_h_target_sum,all_date_h5_base_sum,exposure_weeks,contacts_per_week,relevance,h5_quality,own_h_quality,h5_unconditional_same_dates,forward_bps_per_contact,timing_bps_all_volume,h5_lift_vs_unconditional
base,group_expected_budget,wb2016_kg_no_frequent,4.379377104377104,2.6580246913580248,0.8719135802469136,6.9799102132435475,6.9799102132435475,453832.37988480605,453832.37988480605,264.46403236911704,260.08465526474,0.0,54662.57760149748,3.6958754208754208,0.2980359147025814,1.6744388327721662,128.2709292545372,1.117199775533109,1.2531852875822658,48.214285714285715,0.09083152512782142,0.6069412676751175,0.38234634580762555,0.2551047212665219,0.28615605774842523,29.289765689813024,5.8273504512006085,0.09619028805920032
base,group_expected_budget,wb2016_kg_frequent_quarter_of_monthly,4.879938271604939,3.0480359147025813,1.0037878787878787,9.530695847362514,9.530695847362514,470667.58144030184,470667.58144030184,266.84301745648946,261.9630791848846,0.0,53322.77051914916,3.6703423120089784,0.315993265993266,1.9429573512906848,168.57265090950042,1.5024410774410775,1.4070236623129042,48.214285714285715,0.1012135345221765,0.6246054243018381,0.3981520345444196,0.30788116443672703,0.2883281681040927,34.54401296229089,5.66945819042638,0.10982386644032693
base,group_expected_budget,wb2016_kg_frequent_half_of_monthly,5.380499438832773,3.438047138047138,1.135662177328844,12.081481481481482,12.081481481481482,487502.7829957977,487502.7829957977,269.2220025438619,263.8415031050291,0.0,51982.96343680084,3.6448092031425365,0.33395061728395065,2.2114758698092034,208.87437256446367,1.887682379349046,1.5608620370435426,48.214285714285715,0.11159554391653159,0.6389829005897966,0.4110168386689681,0.35083776158864416,0.29009612486497177,38.82062900275595,5.522471090102117,0.12092071380399633
base,group_expected_budget,wb2016_tj_same_split,4.628883277216611,2.84354657687991,0.93493265993266,8.094952300785636,8.094952300785636,461782.51599277754,461782.51599277754,263.94707393149974,259.3181906542831,0.0,54258.16132483735,3.698706509539843,0.30882154882154883,1.7970173961840628,144.81742412642973,1.2750925925925927,1.3289628070253503,48.214285714285715,0.09600646797190007,0.6143050940333411,0.38821834307833863,0.27546440820156465,0.2871022506803126,31.285607230413845,5.715830824907801,0.10111609239802605
base,group_expected_budget,iom2024_returnees_scenario,5.9810606060606055,3.6750841750841747,1.2233164983164981,11.075336700336699,11.075336700336699,496224.35151042545,496224.35151042545,227.80421853831106,221.82315793225044,0.0,57224.271532053506,4.018686868686869,0.40319865319865317,2.2407407407407405,165.1349925713015,1.4624579124579127,1.7219382557314389,48.21428571428571,0.12405162738496073,0.6144535922876645,0.3746393638730561,0.24451481246921405,0.2878984797423052,27.609650436240404,4.590750491081552,0.08674088413075087
base,group_expected_budget,v3_balanced,7.182407407407408,4.611111111111111,1.5398148148148147,17.197222222222223,17.197222222222223,536628.8352436153,536628.8352436153,233.51378274800484,226.33137534059745,0.0,54008.73453441752,3.9574074074074073,0.4462962962962963,2.8851851851851853,261.8591245432132,2.387037037037037,2.091150355084971,48.21428571428571,0.14896844993141292,0.6420007734949077,0.4017016887972154,0.33234497872889,0.2911489472079114,36.45840589231278,4.3514952498218955,0.110552741589304
base,group_expected_budget,frequent_heavy_stress,8.811944444444444,5.7195833333333335,1.9198611111111112,22.662361111111114,22.662361111111114,583422.7357946438,583422.7357946438,210.35309497173253,201.54115052728807,0.0,54428.07183045632,4.156666666666666,0.5380555555555555,3.5548611111111112,328.7705855033429,3.021666666666667,2.575557385724468,48.214285714285715,0.1827662551440329,0.649071651483151,0.40341392680389626,0.3429057781420421,0.292280256867512,37.30965254900339,3.605500472744239,0.11113366993638424
base,group_expected_budget,l2kgz_regular10pct_frequent_scenario,3.6687361525728788,2.268464149684963,0.7348564542735813,6.249385967655537,6.249385967655537,438090.3130626375,438090.3130626375,292.5586328617067,288.88989670913384,0.0,51696.04137680757,3.4445659958488433,0.2386308799509868,1.5014403349822492,136.52151390517716,1.2011299952546872,1.0514850314539685,48.214285714285715,0.07609230538669674,0.6183230560459063,0.409252743326688,0.3273961237066167,0.28660688251363176,37.2121374303341,6.678043867632314,0.12264586081305623
base,group_unconstrained_expected_budget,wb2016_kg_planning,4.217732884399552,2.389702581369248,0.8063131313131313,8.000224466891133,8.000224466891133,460566.4605070044,460566.4605070044,190.38923856817013,186.17150568377053,0.0,49799.85342550749,3.4514870931537596,0.27042648709315376,1.6083333333333334,112.80412264031551,1.5927609427609426,1.2382603156709862,48.21428571428571,0.08747890426902775,0.566584619478446,0.3813265034592868,0.37763437998935595,0.29358433774956055,26.745203106046063,4.13380597359574,0.08774216570972626
base,group_unconstrained_expected_budget,wb2016_kg_no_frequent,4.2272727272727275,2.367817059483726,0.7978956228956229,6.9799102132435475,6.9799102132435475,453832.37988480605,453832.37988480605,193.77101052346103,189.54373779618834,0.0,51037.61297074678,3.5200617283950617,0.2721099887766555,1.6032828282828284,108.35377064295177,1.6034231200897868,1.2408194273240516,48.214285714285715,0.08767676767676769,0.5601287667595911,0.3792712066905615,0.3793043939997345,0.2935271763562272,25.63207477575203,4.269660322003576,0.08574403033433431
base,group_unconstrained_expected_budget,wb2016_kg_frequent_quarter_of_monthly,4.203423120089787,2.422530864197531,0.8189393939393939,9.530695847362514,9.530695847362514,470667.58144030184,470667.58144030184,185.31658063523372,181.1131575151439,0.0,47943.21410764857,3.348625140291807,0.2679012345679012,1.6159090909090907,119.47965063636116,1.5767676767676768,1.2344216481913883,48.214285714285715,0.0871821091574178,0.576323342901008,0.3844269407916694,0.3751151458514118,0.2936705663276222,28.424369192176165,3.9373134658678155,0.09075637446404722
base,group_unconstrained_expected_budget,wb2016_kg_frequent_half_of_monthly,4.179573512906846,2.477244668911336,0.839983164983165,12.081481481481482,12.081481481481482,487502.7829957977,487502.7829957977,176.86215074700638,172.68257723409954,0.0,44848.81524455038,3.1771885521885523,0.26369248035914705,1.6285353535353537,130.60553062977056,1.5501122334455668,1.2280238690587248,48.214285714285715,0.08668745063806792,0.592702738990333,0.3896415145005371,0.3708780880773362,0.29381559273129,31.248530556156165,3.6279208430391865,0.09582592176924709
